日期,评论,评分
2018-01-19,故宫为中国明、清两代的皇宫，依照中国古代星象学说，紫微垣（北极星）位于中天，乃天帝所居，天人对应，是以故宫又称紫禁城。明代第三位皇帝朱棣在夺取帝位后，决定迁都北京，公元1406年即开始营造宫殿，至明永乐十八年，公元1420年落成。1911年，辛亥革命推翻了中国最后的封建帝制——清王朝，1924年清逊帝爱新觉罗&#183;溥仪被逐出宫禁。1925年10月10日在乾清门前广场举行了盛大的建院典礼，故宫博物院正式成立。,5
2017-08-19,我是暑假期间周一去的，只能说是人山人海，连上个洗手间都要排队到厕所的大门外！故宫每天限8万张票，一定一定要提前在网上买票，凭本人身份证入园，否则现场买票要排长队不说，还不一定能买到。故宫除7-8月外，每周一闭馆，淡季：成人40元，老人/学生20元；旺季：成人60元，老人30元，学生20元；残疾人、6岁以下或1.2米以下免票。,5
2017-04-20,4.15，赶在五一之前，清明之后，带着妈妈来了一趟故宫游，天气正好，虽然特意错开了假期，但是人还是很多。交通很方便，北京南站四号线倒一号线，三块钱到天安门西，出了地铁口，没有多远，就可以到达天安门安检处，网上搜了一张游览图片，按照从午门到神武门的游览顺序，不得不说，真的很大，如果慢慢走，五六个小时，才能大概看完，每个宫殿都有简介，额外买的珍宝馆和钟表馆的门票，作为北京绝对的地标性建筑，非常值得一游，推荐~,5
2017-01-07,孩子们刚刚考完试，利用周末休息时光带孩子来到首都北京参观游览故宫---紫禁城，体验一下历史文化。已有将近20年没进过紫禁城了，重新游览依然能感受到中国文明历史的博大精深。必须为我们聘请的导游十三阿哥点一下赞，讲解的太好了，给孩子们上了一堂生动的历史课，收获颇丰。,5
2016-11-20,北京故宫的大气，进门第一眼确实让人震撼！最好请个导游讲解一下历史，感觉会完全不一样！很可惜就是很多地方门都关了，不好进去看看，主线的宫殿，也只能在门外看看，拍两张照片，有些遗憾。建议去故宫可以把后面的景山公园一起兜掉。我去的那天雾霾，站在公园最高点看故宫，仙气十足……,4
2016-10-14,去的时候在携程订到了半价票，很合适哈哈。网络订票比较方便建议大家选择网络订票。去的话中间的大殿人特别多，建议大家先走西宫，在那儿能看到嬛嬛住的地方，然后再去中间的，再去东宫，然后买张珍宝馆的十块钱门票从那一直看到珍妃井就可以从神武门出来啦。珍宝馆会有一些古文物，看着觉得不错，觉得很精致。逛了四个小时基本上都逛完了，建议大家带些水和吃的，美中不足的是本想去漱芳斋看看，但是漱芳斋不对外开放，然后从网上查到小燕子她们其实是不能住漱芳斋的，只是虚构，哈哈哈。总之进了故宫看着高高的城墙，真的有一种一入宫门深似海的感觉。,5
2016-10-09,如果没记错的话第一次去北京是1999年，到2016年，也17年了，愣是没去过故宫。这次国庆节，愣是国庆当天一日游，早上升旗，上午故宫，下午老舍茶馆，愣是往人多地钻。但，值，尤其是故宫。如果不是国庆，门票30（携程网订）更划算。皇帝家的院子确实太大了，真的是大气磅礴，我们请了导游，2小时讲解，因为国庆游客太多，我们是跟前面的游客拼的导游，把每座殿，每扇门都走了一遍。不得不说的珍宝馆还是要看看，虽然真的没有台北故宫的珍宝多。简单来说，皇家大院还是值得看的，而且，找个人不多的时候，要去登上天安门和故宫的角楼看看。,5
2016-10-07,"北京故宫是来北京旅游必去的景点，坐落于市中心地带，皇城嘛必须在中心位置。交通很方便，地铁一号线天安门东，天安门西都可以下车，地铁二号线前门站也可以下车，在前门站下车需要步行800米，不过也很不错可以走天安门广场穿过，由南往北看下天安门全景。
故宫有四个大门，正门名为午门。其平面为凹形，宏伟壮丽。午门后有五座精巧的汉白玉拱桥通往太和门。东门名东华门，西门名西华门，北门名神武门。故宫的四个城角都有精巧玲珑的角楼，角楼高27.5米，十字屋脊，三重檐迭出，四面亮山，多角交错，是结构奇丽的建筑。
 故宫有三大殿，太和殿、中和殿、保和殿，统称三大殿（明朝称：奉天殿、华盖殿、谨身殿，嘉靖时改名：皇极殿、中极殿、建极殿。现名为清朝时名称）。这3座大殿是故宫中的主要建筑，它们高矮造型不同，屋顶形式也不同，",5
2016-10-05,我们是10月5日来的故宫博物馆，首先票是官网先预定的，到那直接刷身份证过。我们是7点直接打车过去，司机把我们送到一个点，具体说不清，到了那，直接2块钱坐个电瓶车到故宫门口。7：30左右开始排队进去，人比想象中的少，队伍5分钟就进去了。进去之后，租个讲解器20，不用押金，我们租了3个，有一个接触不好，一会儿有一会儿没有的。我们选择走的是中线和东线，珍宝馆和钟表馆都在东线，我们进了珍宝馆，里面有个九龙璧还有些珍宝。一些大殿只能看到外面。快到中午，差不多就逛好了，西线由于孩子说累就没去了，希望对大家出行有点帮助！,5
2016-10-04,故宫不愧为中国皇家居住的地方，高大雄伟，去的时候人很多，很多地方都是随便看一下，去故宫只能看外景，房子里面的东西基本被搬空了，安检比较严格，因为不了解北京的历史建议租一个智能导游机，可以更好的了解历史，20元性价比高。,5
2016-09-18,"虽然我本身就是帝都人，但是仅仅是小时候来过一次，没了印象。现在学校布置任务，要欣赏故宫里的建筑艺术。起初是为了任务而来，但是一天走下来真的觉得太壮观了，尤其是细节部分，不仔细看是辨认不出来区别的。照相出来的效果也好，古香古色，走累了还可以买个北京的老面包喝口老酸奶。如果选择深度游的话建议把行程放的宽松一点，这里适合待上5.6个小时呢。
唯一不好的地方是人太多了，来的话提前携程上订票比较方便，直接进去，可以省去了排队的时间。",5
2016-09-11,"1、故宫！紫禁城！位于北京中轴线的中心。先坐公交或者地铁到天安门广场附近。从天安门广场可以进去，我们当时两人天安门进去有一段距离到售票处，旺季60元，但是当时我们学生证20元。2、里面很大，很多妃子用过的东西，这种地方历史的气氛很浓重，仔细体会别有深度，建议不要走太快，仔细品味里面的历史氛围和环境。御花园和皇宫都是爱新觉罗家的人住的地方难道有机会去走一圈不是一生当中的荣幸吗。3、里面也有卖吃的。走完差不多要好几个小时。4、建议选一个好天气去！走完故宫之后出门之后对面就是景山，门票2元。值得一去！景山不高，很容易爬，上了山顶可以俯看故宫，看图就知道，虽然没拍好。来北京不去故宫和没去长城一样遗憾！
【故宫门票注意事项】：公交车可以直达另外地铁可以到天安门东或者天安门西下车。2、天安门广场和天安门遥遥相对，在天安门广场需要走地下道道天安门，天安门城门会有警察和保镖，不能拍照！4天安门附近吃的东西较少，这也是不太方便的一个地方，要吃东西去簋街吧。5天安门进去之后就是故宫了，故宫门票旺季60，我当时买的学生票20，不怎么仔细看学生证。
【天安门情况】、天安门广场需要过安检，他也算是中国很有标志性的建筑之一。2公交车可以直达另外地铁可以到天安门东或者天安门西下车。3天安门广场和天安门遥遥相对，只需要过地下行人道就可以进去天安门，天安门城门会有警察和保镖，不能拍照！4天安门附近吃的东西较少，这也是不太方便的一个地方，要吃东西去簋街吧。5天安门广场需要一个好天气真的是太重要了，阴天和晴天拍照有着天壤之别！",5
2016-09-11,我就想说人真多，人山人海，故宫的建筑可以说是古色古香，人文气息浓厚。建议老人和学文科的孩子多看看，像我这种工科狗看到眼里的只是：卧槽，那房子好大！卧槽，那房子好高！卧槽卧槽，地方怎么这么大，累死了累死了！,4
2016-08-27,故宫是去北京必到的地方，我们从携程提前两天定的门票，7点到达故宫正门，本来以为八点半才可以进入，结果七点五十就可以检票咯直接刷二代身份证非常方便哦！进入故宫后我们才雇的导游，是故宫内部的专业导游，讲解的中轴线部分两个小时200元，还不错哦，我们带着孩子去的所以雇个导游还是非常有必要的哦！珍宝馆也是必去的，真的好多宝贝！我们去的时候北京的天气很给力，开心！,5
2016-08-06,故宫以他悠久的历史和深厚的文化内涵，散发着独有的魅力。内部亭榭楼阁飞溅，基础设施较为完善。但大家注意：这段时间天安门和故宫实施单向通行，从午门进，神武门出，可到后面看景山公园。电子解说器，租金20元，不需要押金。每天限八万人，建议提前预定。,5
2016-07-28,十几年前走马观花走过，今天故地重游，又是一番感受。携程订好VIP门票60元，下午去的，误订为上午，检票口直接身份证验好入馆，不用解释订错时间。一并订好珍宝馆和钟表馆，省去再购票。20元讲解器必租，自动感应讲解，有讲解游览，比自己随便逛逛有意义多了，了解建筑、陈列品背后的故事，了解昔日皇城风云变幻的历史，这才是真正的游览。可惜入馆下午近14点，16点半广播开始清场，时间严重不足，这里，应该花一整天时间走过，导览器上好多未去过的景点还亮着红灯，只能下次再来听了。多了随身导览，皇城更显文化魅力！珍宝馆珍妃井让人唏嘘，不忍多留，九龙壁工匠琉璃缺失故事为工匠紧张，各类珠宝饰品来不及欣赏，戏楼构造之精巧让人叹服。钟表馆各国精品荟萃，构思奇妙、精致做工让人不能移步，陶瓷馆瓷器巧夺天工....中轴线匆匆走过，西宫没时间去，乾隆花园16点半就关门谢客。故宫商店匆匆购入书签，状元郎，故宫博物院图书...一个人的游览，很好，60元门票性价比太高,5
2016-07-07,故宫全年都在整修，不过并不影响参观。游人还是一如既往的多多多。虽然故宫每逢周一闭馆，但是每年暑假期间（七月和八月）的周一是开馆的，所以也可以利用起来。另外，现在正好有故宫珍宝展览，都是故宫里的珍藏，非常值得一逛。稍微需要注意的是，故宫非常非常的大，需要注意劳逸结合。珍宝展馆里面可以拍照，但请不要使用闪光灯，为了保护珍贵的文物，需要大家共同配合。,4
2016-06-21,来北京怎么能不去故宫！故宫每天限流8万人！如果不是在淡季来，可以考虑去网上预先定好票，我们早上4点多去天安门看升国旗！看完在胡同里晃！（不要信什么20元游八大胡同的事情！）7点左右到故宫售票处等，对面是国旗护卫队，可以看帅哥！没网上买票的要提前去排队哈，记得带身份证，实名制买票，8点后就一大堆人了！吓到！售票处8:30准时开放，票价60元！接下里就去玩把！故宫很大，可以租讲解器，10元一次！浏览完后可以去北门出口的景山公园玩！票价2元，到顶上看故宫全景！值！,5
2016-04-12,到北京必看的景点，景色还行，没有想象中的金碧辉煌，不过真的好大，有气势。但是都是只看到殿外，不能进去参观了过去是可以的，应该是要保护文物吧。特别要介绍一下数字讲解，20元一个耳机，一路讲解把该知道的内容都了解了。,4
2019-02-03,"盛世下的故宫
        二十八把面发，二十九蒸馒头，我家大姐馒头蒸的棒，我则赶在节前来故宫参观“贺岁迎祥——紫禁城里过大年”展览。
      今年故宫特别热闹，一是这大展之时，首次在北京故宫博物院的乾清宫前丹陛上下复原了“天灯”和“万寿灯”各一对，按《国朝宫史》记载，每年十二月二十四日安设天灯万寿灯。天灯至次年二月初三撤出，万寿灯至正月十八日撤出。二是在慈宁宫有过年大集；今天就有八万多人走进故宫，可谓是人山人海人来人往。

        前不久登上至高的万春亭，向南隔街遥望故宫神武门；今日来故宫，隔街与景山万春亭的游客相望，以万春亭为至高点的五亭净收眼底。望过万春亭，沿紫禁城城垣向东走到紫禁城东北角楼，再961米向南步行到东南角楼；好大的一座宫殿，这红墙和金黄的琉璃瓦在阳光下闪耀着耀眼的光芒，如此壮观。",5
2016-12-23,"从小的皇城情结待见到后终于了解什么叫不负期待！
红墙青砖琉璃瓦厚重的历史沉淀未曾被岁月冲刷殆尽仍旧金碧辉煌的大殿重重宫门让人想永远就在这里想回到那段历史追溯遗失的过往",5
2019-02-26,"2019 热爱生活  
️各种节日快乐️
快乐的人儿，每天都是节日‍♀️‍♂️
故宫博物院（简称故宫）
世界五大宫之首，我们很有幸，可以经常性去欣赏，属于国家5A寄景区
这座城原是中国明清两个朝代的皇家宫殿，原称是紫禁城，因为有他的存在，北京是以他为中心向四周发展，然后才有了几环几环。
&#160;
门票：旺季（4月-10月） ￥60.00
&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160; 淡季（11月-3月） ￥40.00
&#160;
时间：
旺季 8:30-16:10 16:00开始停售，17:00工作人员会清场，防止有游客还没有出去
淡季8:30-15:40 15:30开始停售，16:30工作人员会清场，防止有游客还没有出去
&#160;
特殊时期，比如这次的上元佳节，开启了夜场模式，需要在官网预定门票
&#160;
不要妄想一次逛故宫就能全部逛完，那是不可能的，就算走完了，腿也废了
连日行3,4万步的我都不敢轻易尝试，可以多个季节前去，欣赏不一样的故宫啊
&#160;
春天要到了，海棠花快开了吧，可以去御花园赏景了，虽然个人觉得御花园真的好小啊，为什么？是我眼拙么？
&#160;
在故宫如何拍出没有人的照片？
首先，请早一些到，比旅行团早到才行，8:30在门口等他开门，然后进去，冲在第一个进入景区的人，快速的拍摄中轴线，希望没有人哦，不然错过一分钟，就全是人头了，大家都是这么想的。
&#160;
如果你做不了第一个进入景区的人，可以考虑东西两殿先看，可以考虑先去内廷看看，个人比较喜欢坤宁宫，安静的很，而且他的小花园就不错，此时真的没人，随你拍。
&#160;
其次，拍摄局部照片，比如一个屋角，一片花瓣，或者一盏灯，基本上肯定是完整的没有庞杂闲人的；
&#160;
最后，把相机放在闹区，不要动，静候个把小时，肯定能拍到无人的城墙，门房，庭院，就是真的太累了，当我坚持了半个多小时候以后，我放弃了，实在太难了，总有人群在走动。
不过这个时候，拍摄红色墙和你的合影绝对是最佳时刻，这里真的可以拍出唯美的场景。
&#160;
推荐故宫周边住宿，这里的交通，要多么拥堵就有多么拥堵，个人建议步行，我们是住在景山公园对面的，然后步行到故宫10分钟，这个地理位置真心不错。
&#160;
交通小TIPS：公交车是到故宫西门或者故宫东门下车/地铁是到天安门东或者天安门西下车，但是特殊的节日，这个地铁站是封道的，请注意。",5
2019-01-09,"冬天里的京城才算得上是去了趟老北京。
一般人不知道的攻略：
1.去景山一个单反就能拍到故宫全景，要早去，晚了人也多。
2.东华门的糖葫芦要吃流动摊贩的，店铺的也一般。
3.水立方啥的当然晚上去，看的就是夜景。鸟巢下面的鸟巢咖啡只此一家，别无分店。
4.升旗就别去看了，总有人起的比你早。真要去看，先搞清楚自己要站在南广场还是北广场，北广场旗子出来，南广场升国旗。升旗后的国旗护卫队后场倒是值得一看。
5.四季民福的烤鸭还可以，如果你愿意排队，我们是从2点半排到5点。
6.带小朋友的国家博物馆值得一去，很多教科书上的宝贝。
7.故宫下午三点进，玩到关门，人少，适合拍照，时间也足够了。
8.地铁真的很方便。别打车，领导太多，道路限行。
9.老舍茶馆听场相声，很有年味。",5
2018-12-29,"由于北京是明清二朝帝都，所有到处都是皇帝的行踪，所到之处到处都要有帝王的气息，建筑就要有一定的“规制”，从某种意义上讲，规制是很繁琐的，也是很严谨的。但是，几百年下来，摆在我们面前的只有建筑，厚本的古籍我们也没有机会和时间去研究，因此，对于我们这些“门外汉”就只能找到最简单的区别加以辨识。久而久之，我觉得各个古迹大殿上飞檐上面的脊兽的数量，似乎说明一些问题。

故宫太和殿上面的脊兽最多加上行什和仙人是11个。",5
2018-08-27,北京故宫，又名紫禁城，是中国乃至世界上保存最完整，规模最大的木质结构古建筑群，被誉为“世界五大宫之首”。外朝也称为“前朝”，以太和殿(金銮殿)、中和殿、保和殿三大殿为中心，是封建皇帝行使权力、举行盛典的地方。内廷以乾清宫、交泰殿、坤宁宫后三宫为中心，以及东西两侧的东六宫和西六宫，是封建帝王与后妃居住之所，也就是俗称的“三宫六院”。,4
2017-01-04,来故宫前做了很多准备，看了 “我在故宫修文物”“故宫100”“末代皇帝”等纪录片.电影。所以真的进入那一刻心情很是激动，留意着每一个细节，大门上的帽钉，檐角的神兽，雕龙浮雕，珍妃井等等。故宫，有些旧了，就如同它的名字一样，“故”宫。自看了“我在故宫修文物”后，很喜欢王津老师，钟表馆里也一直在播放这部片（与时俱进）。去的那一天雾气蒙蒙，所以登上景山公园也看不见全景，留给自己一个想象，想象着故宫的无限蔓延……,5
2016-12-16,"【历史】故宫始建于明永乐也即朱棣时期，与元大都位置并不完全相同，落成于1420年，但当年即遭火灾，太和殿焚毁。其实紫禁城还是蛮坎坷的，多次遭受火灾，现存大部分建筑都是在清代重新修建的。

【建筑】紫禁城实在是中国建筑的瑰宝，座落在北京城的中轴线上。以北为子，以南为午，从午门进入，经过金水桥和太和门，自南向北排列着太和殿、中和殿、保和殿、乾清宫、交泰殿、坤宁宫、御花园、神武门。其中太和殿是最宏伟的建筑，也是世界上现存的最大的木质建筑。太和殿长宽比为9：5，意为九五之尊，无论是体积最大的琉璃构件之王龙吻，还是中国建筑史上唯一的一例走兽行什，都体现了太和殿至高无上的地位。关于紫禁城的建筑能说的太多，如果有兴趣了解的话推荐一本单仕元先生的《故宫营造》，可以对故宫的建筑有更深的了解。

【门票】故宫旺季门票60，淡季40，学生票20。天安门城楼需要另外买门票15元，并且不能带包上城楼，需要另外付费存包。故宫里面是可以带包的，故宫内的珍宝馆和钟表馆也都需要另外买10元的门票。

【游览】故宫早上8：30对外开放，下午16:30禁止入内，17:00停止对外开放。故宫的中轴线是一定要游览的部分，粗略下来也要2到3小时时间。西线主要是太后和妃子的寝宫，东线主要是乾隆太上皇时期修建的宁寿宫和珍宝馆、钟表管，时间有限的话可以选自己感兴趣的部分游览。

另外，故宫今年新开放了一部分城墙，从午门上，可以走一段城墙，领略不一样的故宫。可能知道的人较少，城墙这条线路上的游客还很少，很值得一去。

故宫内部的物价相对较贵，如果想要深度游览的话可以考虑自备一些食物和水。",5
2016-11-04,去之前最好在故宫售票官网购票，进去只刷身份证就可以了，故宫很大，里面全程逛完需要很长时间，因此需要准备水和食物。入口在午门，如果游玩不知怎么走，可提前规划下，一般沿着中轴线往北走，故宫有书画展，石刻展，还有钟表和珍宝两展馆，当时去的钟表馆，正好赶上当时的钟表表演。珍宝馆有各种奇珍异宝，还有皇家闻名的九龙壁，如果喜爱建筑的人，去看一下故宫古建筑群，一定会有所收获的。,5
2016-11-03,"早点去！早点去！早点去！
我11月淡季工作日去的。
天安门外安检，队伍老长老长，花了1小时。买了故宫门票进去还安检，不过就几分钟（节假日就…）
范围还是比较大的，够你慢悠悠逛一天，里面有卖食物（价格…建议自带）。
阶梯不少，出行背包吧
部分景点还在装修。
这次是出差之余偷空去的。急匆匆就2小时出来了，基本是午门（皇帝拉人砍头的地方）进去，直线北上太和殿、乾清宫、坤宁宫、御花园…
百多年前的皇帝生活，嗯，就这样吧",5
2016-09-30,故宫，当进入这座紫禁城，眼前出现了很多清宫戏的场景，金枝欲孽，步步惊心，甄嬛传，天子的皇威，臣子的野心，妃子的宫斗，昔日的种种都在脚下的土地曾经上演过。游玩的时候要慢慢体验，不光要走中轴线，有时间把东西六宫全部逛下来，还有钟表馆和珍宝馆一定要去哦，旺季门票60，两馆都是10元，携程提前订好游玩时间分上下午场，刷身份证就可进入，安检打火机不要带,5
2016-09-16,故宫里面很大，去的时候携程正在做活动补贴一个人30元，拿着身份证直接入园速度非常快，到里面租个一个自助讲解器，一路自动定位讲解很不错，建议想上天安门城楼的先去城楼在进故宫，不然全是只进不出还要走冤枉路，最后感谢携程的活动力度省了不少钱和时间。,5
2016-08-28,相信这个景点，中国人无人不晓，也是来北京的必游景点之一。这么大的地方，现在慈宁宫又开放了，半天的游览时间根本不够，建议预约上午场次，游览一整天，中午可在故宫餐厅用餐，虽然有些贵，但也算是一个很好的补给场所。人实在很多啊，尽量避开旺季，这才能细细品味历史之美。,4
2016-08-18,"去故宫，首先一定要提前订票，否则要排特别长的队，也要带好身份证，在网上订票后，可以直接刷身份证进入。
故宫里的钟表馆和珍宝馆需要单独买票，10元，学生证5元。这两个换可直接排队买票，因为就算你网上订了，去那里也是需要取票的。
这两个馆也特别值得去看一下。
故宫里有许多商店，纪念品店，而且价格不贵，纪念品可以去博物院买。
想要拍故宫全景的，可以去景山公园，登上万寿亭拍摄，拍故宫全景最佳景点。学生票5元。
故宫很大，细致浏览需要5、6小时，我是上午10点开始逛，到三点半左右从神武门出去的，基本都逛了。中间累的话，也有很多座椅可提供休息。",5
2016-08-09,"头一天在网上订的票，第二天一早直接刷身份证过安检。然后在门口和别人拼了一个导游(240,摊120，因为在西安用过电子导游器很难用，故宫的导游都被请完了150/人，所以我们请的是野导，不过也很专业的会告诉你一些其他的历史和故事，电子导游器没法比，不过导游只会给你讲解从午门到乾清宫中轴线上的建筑，后宫导游不讲的)，进了午门就去存包(我带了行李箱晚上去机场)，本想着看完一再到回来拿包，谁知道他居然还是直接送到出口神武门，很方便还不收费呢。珍宝馆和钟表馆都没有去，里面大部分都是复制品，就没去看，里面开放的馆很少，我总共耗时1小时50分。有人说故宫没什么逛的，可是我觉得在历经两朝有600年历史的建筑，是值得我们去感受一下的",5
2016-08-06,来北京旅游一要去的地方，非常大气，官网和携程提前一天订票。早点出发，8点开门时人不多，好拍照，半小时后就是一堆人了。故宫租讲解器不要押金，租金20。建议租个，包括钟表馆的钟表都有讲解，边看边听故事，很多东西没听典故，可能根本没注意。故宫如果时间充足最好逛一天，珍宝馆里的皇极殿可进入拍照，其他的都只能在门外看，所以建议去看看，另外有三个展示古代宝贝的展馆。钟表馆也蛮有意思，也值门票钱。我在官网订的套票，都是直接刷身份证进入。就是太大走得辛苦，宫里城墙多，夏天天气热不透风，建议带个电动小风扇，做好防晒。我是8点转到12点多出来的，如果不是急着回去退房，还会多转会。,5
